"domain_id","domain_url","layer_1_url_id","layer_1_url"
1,"abendblatt.de",1,"https://www.abendblatt.de/sitemaps/news.xml"
2,"abendzeitung-muenchen.de",2,"https://www.abendzeitung-muenchen.de/news-artikel.sitemap.xml"
2,"abendzeitung-muenchen.de",3,"https://www.abendzeitung-muenchen.de/news-ticker.sitemap.xml"
2,"abendzeitung-muenchen.de",4,"https://www.abendzeitung-muenchen.de/portal-artikel.sitemap.xml"
2,"abendzeitung-muenchen.de",5,"https://www.abendzeitung-muenchen.de/portal-ticker.sitemap.xml"
3,"augsburger-allgemeine.de",6,"https://www.augsburger-allgemeine.de/sitemap.xml"
3,"augsburger-allgemeine.de",7,"https://www.augsburger-allgemeine.de/news.xml"
4,"badische-zeitung.de",8,"https://badische-zeitung.de/sitemap.xml"
4,"badische-zeitung.de",9,"https://badische-zeitung.de/sitemap/"
4,"badische-zeitung.de",10,"https://badische-zeitung.de/sitemap/index.xml"
5,"berliner-kurier.de",11,"https://www.berliner-kurier.de/feed.xml"
5,"berliner-kurier.de",12,"https://www.berliner-kurier.de/sitemap.xml"
5,"berliner-kurier.de",13,"https://www.berliner-kurier.de/news-sitemap.xml"
6,"berliner-zeitung.de",14,"https://www.berliner-zeitung.de/feed.xml"
6,"berliner-zeitung.de",15,"https://www.berliner-zeitung.de/sitemap.xml"
6,"berliner-zeitung.de",16,"https://www.berliner-zeitung.de/news-sitemap.xml"
7,"bild.de",17,"https://www.bild.de/sitemap-news.xml"
7,"bild.de",18,"https://www.bild.de/sitemap-index.xml"
7,"bild.de",19,"https://www.bild.de/sitemap-category.xml"
8,"bnn.de",20,"https://bnn.de/sitemap/sitemap_index.xml"
9,"br.de",21,"https://www.br.de/sitemapIndex.xml"
9,"br.de",22,"https://www.br.de/nachrichten/sitemaps/index.xml"
10,"businessinsider.de",23,"https://www.businessinsider.de/news-sitemap.xml"
10,"businessinsider.de",24,"https://www.businessinsider.de/sitemap_index.xml"
11,"derwesten.de",25,"https://www.derwesten.de/news-sitemap.xml"
11,"derwesten.de",26,"https://www.derwesten.de/sitemap_index.xml"
12,"echo24.de",27,"https://echo24.de/sitemap-index.xml"
13,"epochtimes.de",28,"https://epochtimes.de/sitemap_index.xml"
13,"epochtimes.de",29,"https://epochtimes.de/sitemaps/sitemap.xml"
13,"epochtimes.de",30,"https://epochtimes.de/sitemaps/sitemap_index.xml"
